id,name,type,created_at,updated_at
1,view_posts,post,NULL,NULL
2,add_posts,post,NULL,NULL
3,edit_posts,post,NULL,NULL
4,delete_posts,post,NULL,NULL
5,view_categories,category,NULL,NULL
6,add_categories,category,NULL,NULL
7,edit_categories,category,NULL,NULL
8,delete_categories,category,NULL,NULL
9,view_tags,tag,NULL,NULL
10,add_tags,tag,NULL,NULL
11,edit_tags,tag,NULL,NULL
12,delete_tags,tag,NULL,NULL
13,view_users,user,NULL,NULL
14,add_users,user,NULL,NULL
15,add_comments,comment,NULL,NULL
16,edit_comments,comment,NULL,NULL
17,delete_comments,comment,NULL,NULL
18,approve_posts,post,NULL,NULL
19,view_comments,comment,NULL,NULL
20,add_pages,pages,NULL,NULL
21,view_pages,pages,NULL,NULL
22,add_permissions,user,NULL,NULL
